  Freq. No. =   1,  f = 8.7415e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( 2.094650e+06 , 1.095560e+07 ) 
1025 ( -1.654820e+07 , -2.238288e+07 ) 
1026 ( -2.420275e+07 , -4.241324e+06 ) 
1027 ( 1.016158e+07 , 2.738844e+05 ) 
1028 ( -1.385635e+07 , -2.888310e+07 ) 
1029 ( -5.040854e+06 , -7.296552e+06 ) 
1030 ( -6.976416e+06 , -9.523952e+06 ) 
1031 ( 1.022076e+07 , -6.701030e+06 ) 
1032 ( -1.156020e+07 , -1.494197e+06 ) 
1033 ( 1.419229e+06 , -1.984394e+07 ) 
1034 ( 5.798003e+06 , 5.751564e+06 ) 
1035 ( 1.034063e+07 , 1.256555e+07 ) 
1036 ( 1.083585e+07 , 7.334800e+06 ) 
1037 ( -8.545214e+06 , 1.850042e+06 ) 
1038 ( 4.275851e+06 , 1.485262e+07 ) 
1039 ( 4.778310e+06 , 1.438244e+07 ) 
1040 ( 1.452808e+07 , 7.245523e+06 ) 
1041 ( 1.882717e+07 , 1.415998e+07 ) 
1042 ( -2.269587e+07 , 4.663069e+07 ) 
1043 ( -1.615186e+07 , 3.441298e+06 ) 
1044 ( 1.994699e+07 , 1.992394e+07 ) 
1045 ( 2.191216e+07 , 2.528232e+07 ) 
1046 ( 9.542607e+06 , 3.378229e+07 ) 
1047 ( -1.460160e+07 , 6.518753e+06 ) 
1048 ( -4.685989e+06 , 4.903793e+07 ) 
1049 ( 1.859802e+07 , 3.568598e+07 ) 
1050 ( 1.183202e+07 , 5.272372e+07 ) 
1051 ( -1.389551e+07 , 2.047801e+07 ) 
1052 ( 2.265488e+07 , 4.030266e+07 ) 
1053 ( 1.489179e+07 , 4.124434e+07 ) 
1054 ( 3.938276e+06 , 5.235716e+07 ) 
1055 ( -3.280911e+06 , 1.490133e+06 ) 
1056 ( 2.276971e+07 , 4.878858e+07 ) 
1057 ( 1.610200e+07 , 1.520112e+07 ) 
1058 ( 8.530866e+06 , 3.970178e+07 ) 
1059 ( -9.558313e+06 , 3.566431e+07 ) 
1060 ( 4.142662e+06 , 5.399858e+07 ) 
1061 ( 2.311149e+07 , 1.074305e+07 ) 
1062 ( 1.898970e+07 , 4.177077e+07 ) 
1063 ( -1.169753e+07 , 2.623315e+07 ) 
1064 ( 5.394889e+06 , 3.336989e+07 ) 
1065 ( -1.200111e+07 , 8.521507e+06 ) 
1066 ( -4.955056e+06 , 8.425713e+06 ) 
1067 ( 1.699897e+07 , 2.728670e+07 ) 
1068 ( 7.716592e+06 , 4.434816e+07 ) 
1069 ( 1.404997e+07 , 4.177566e+06 ) 
1070 ( 1.702169e+07 , 2.251943e+07 ) 
1071 ( 1.309155e+06 , -2.020945e+06 ) 
1072 ( -1.876474e+07 , -2.104166e+06 ) 
1073 ( 2.654626e+06 , -2.549984e+07 ) 
1074 ( 2.417225e+07 , -1.587509e+07 ) 
1075 ( -2.965286e+06 , -2.920656e+06 ) 
1076 ( -2.190271e+06 , 1.472904e+07 ) 
1077 ( -1.790053e+07 , -1.665686e+07 ) 
1078 ( 1.742286e+07 , -3.804976e+07 ) 
1079 ( 2.205707e+07 , -6.113038e+06 ) 
1080 ( 3.641551e+06 , -1.045047e+07 ) 
1081 ( -8.030543e+06 , -2.937583e+07 ) 
1082 ( 1.128891e+07 , -3.159147e+07 ) 
1083 ( -7.166473e+06 , -3.539353e+07 ) 
1084 ( 1.168421e+06 , -5.399104e+07 ) 
1085 ( -1.084705e+07 , -5.262051e+07 ) 
1086 ( -7.434232e+05 , -6.790420e+07 ) 
1087 ( -8.041826e+06 , -5.333609e+07 ) 
1088 ( -5.679314e+05 , -4.508710e+07 ) 
1089 ( -1.177697e+06 , 8.365720e+06 ) 
1090 ( 5.380509e+06 , 4.458059e+06 ) 
1091 ( -4.156359e+06 , 4.491364e+06 ) 
1092 ( 2.426003e+07 , -2.928893e+07 ) 
1093 ( 3.887316e+06 , 7.748142e+05 ) 
1094 ( 1.322852e+07 , -1.762925e+07 ) 
1095 ( 1.318676e+07 , -2.434184e+07 ) 
1096 ( 1.447192e+07 , -1.406692e+07 ) 
1097 ( -1.437968e+07 , -2.195468e+07 ) 
1098 ( 4.969788e+05 , -5.828968e+07 ) 
1099 ( -6.438497e+06 , -3.378165e+07 ) 
1100 ( -6.776067e+06 , -2.594045e+07 ) 
1101 ( -4.376918e+06 , -2.953382e+07 ) 
1102 ( -5.059031e+06 , -6.154579e+07 ) 
1103 ( 2.086106e+06 , -2.881393e+07 ) 
1104 ( 1.261688e+07 , -5.612032e+07 ) 
1105 ( 7.338517e+06 , -1.612033e+07 ) 
1106 ( -1.789660e+06 , -4.748442e+07 ) 
1107 ( -9.778824e+06 , -5.600675e+07 ) 
1108 ( 3.946704e+06 , -6.481848e+07 ) 
1109 ( 1.854956e+07 , -2.793330e+07 ) 
1110 ( -6.075797e+06 , -6.539315e+07 ) 
1111 ( -1.790371e+07 , -4.911280e+07 ) 
1112 ( 6.966599e+05 , -5.192452e+07 ) 
1113 ( -7.471719e+05 , -2.053895e+07 ) 
1114 ( -1.236616e+07 , -5.837653e+07 ) 
1115 ( -2.703574e+07 , -3.980667e+07 ) 
1116 ( -1.271082e+07 , -5.905765e+07 ) 
1117 ( 2.427840e+07 , -1.007253e+07 ) 
1118 ( -8.230396e+06 , -4.323190e+07 ) 
1119 ( -1.128114e+07 , -5.197262e+07 ) 
1120 ( 7.515620e+06 , -5.832714e+07 ) 
1121 ( 1.132457e+07 , -9.948163e+06 ) 
1122 ( -9.025628e+06 , -3.692315e+07 ) 
1123 ( -2.599288e+07 , -3.503733e+07 ) 
1124 ( -1.399383e+07 , -4.155652e+07 ) 
1125 ( 8.675157e+06 , -1.404627e+07 ) 
1126 ( -4.805506e+06 , -2.063285e+07 ) 
1127 ( -1.865420e+07 , -8.880956e+06 ) 
1128 ( -5.217150e+06 , -2.820823e+07 ) 
1129 ( -4.379327e+06 , -3.202777e+06 ) 
1130 ( -6.507257e+06 , -8.733992e+06 ) 
1131 ( 1.151287e+06 , 5.167995e+06 ) 
1132 ( -1.048915e+07 , -1.289630e+07 ) 
1133 ( -1.383399e+07 , 1.372174e+07 ) 
1134 ( -5.197927e+06 , 1.031072e+07 ) 
1135 ( -2.761744e+06 , -7.273295e+06 ) 
1136 ( -1.351329e+07 , -1.973955e+06 ) 
1137 ( -7.217523e+06 , -1.106239e+07 ) 
1138 ( 1.406780e+07 , 1.769463e+07 ) 
1139 ( 1.208315e+07 , 1.654978e+07 ) 
1140 ( 1.002479e+07 , 6.615016e+06 ) 
1141 ( -7.117920e+06 , 1.303031e+05 ) 
1142 ( 2.308083e+07 , 2.362336e+07 ) 
1143 ( 2.397416e+07 , 1.721196e+07 ) 
1144 ( 1.665786e+07 , 2.588203e+07 ) 
1145 ( -3.451413e+07 , 1.334691e+07 ) 
1146 ( 1.699437e+06 , 2.948716e+07 ) 
1147 ( 2.707686e+07 , 8.900108e+06 ) 
1148 ( 5.324729e+06 , 2.612078e+07 ) 
1149 ( -1.759242e+07 , -9.912739e+06 ) 
1150 ( 6.324199e+06 , 2.411274e+07 ) 
1151 ( 2.765210e+07 , 3.712021e+07 ) 
1152 ( 7.822647e+06 , 2.966475e+07 ) 
1153 ( -1.275819e+07 , 7.744399e+06 ) 
1154 ( 2.204030e+07 , 3.341803e+06 ) 
1155 ( 1.389256e+07 , -1.142591e+07 ) 
1156 ( 3.569495e+06 , 8.341988e+06 ) 
1157 ( -2.722646e+07 , 2.731116e+05 ) 
1158 ( -1.785557e+07 , -2.199380e+07 ) 
1159 ( 1.398920e+07 , 2.303166e+07 ) 
1160 ( 1.070888e+07 , 1.004332e+07 ) 
1161 ( 1.307767e+07 , 3.243012e+06 ) 
1162 ( -2.937910e+06 , 9.316656e+06 ) 
1163 ( 4.421513e+06 , 5.764661e+06 ) 
1164 ( -8.630397e+06 , -2.435391e+07 ) 
1165 ( 2.296612e+06 , -2.293085e+07 ) 
1166 ( 4.198539e+06 , -2.079378e+07 ) 
1167 ( -1.499800e+07 , 8.130039e+06 ) 
1168 ( -1.570280e+07 , -9.844882e+05 ) 
1169 ( -1.796165e+07 , -2.234732e+07 ) 
1170 ( -3.001718e+07 , -3.029862e+07 ) 
1171 ( -8.991310e+05 , 1.734243e+07 ) 
1172 ( -3.798665e+06 , -1.395471e+07 ) 
1173 ( 1.703692e+07 , -1.401111e+07 ) 
1174 ( -1.520296e+07 , -6.929649e+06 ) 
1175 ( 6.403319e+06 , -4.085365e+06 ) 
1176 ( -1.452377e+07 , -3.092741e+07 ) 
1177 ( -4.625815e+06 , -2.567330e+07 ) 
1178 ( -4.198873e+06 , -1.025431e+07 ) 
1179 ( -6.443258e+06 , -8.064738e+06 ) 
1180 ( -2.772537e+07 , -1.117184e+07 ) 
1181 ( 1.003009e+07 , -2.496696e+07 ) 
1182 ( -1.194277e+07 , -8.795649e+06 ) 
1183 ( -1.430572e+07 , 5.340077e+06 ) 
1184 ( 2.218373e+06 , -1.551353e+06 ) 
1185 ( -7.163284e+06 , -1.099936e+06 ) 
1186 ( -1.206527e+07 , -8.471643e+06 ) 
1187 ( 1.940560e+07 , -1.560427e+07 ) 
1188 ( 9.723868e+05 , -1.072904e+07 ) 
1189 ( -7.201255e+06 , -5.349267e+06 ) 
1190 ( -3.604953e+06 , 2.523231e+07 ) 
1191 ( 5.726657e+06 , -2.119729e+06 ) 
1192 ( -1.575170e+07 , -4.609919e+06 ) 
1193 ( -2.088073e+06 , 5.105401e+06 ) 
1194 ( -5.195850e+06 , 1.534627e+07 ) 
1195 ( 5.376697e+06 , -1.363087e+07 ) 
1196 ( 1.755556e+05 , 2.696174e+07 ) 
1197 ( 1.411632e+07 , 2.873424e+07 ) 
1198 ( -8.396002e+05 , 4.512716e+07 ) 
1199 ( 2.724976e+05 , 7.060363e+05 ) 
1200 ( 1.495101e+06 , 3.004229e+07 ) 
1201 ( 1.115564e+07 , -2.320364e+06 ) 
1202 ( 3.727468e+06 , 4.467350e+07 ) 
1203 ( 2.973175e+06 , 9.963674e+06 ) 
1204 ( 1.095843e+06 , 3.606060e+07 ) 
1205 ( 1.997394e+07 , 1.658841e+07 ) 
1206 ( 1.337159e+07 , 4.780210e+07 ) 
1207 ( -6.555666e+06 , 1.184887e+07 ) 
1208 ( 5.669589e+06 , 5.178236e+07 ) 
1209 ( 1.987581e+07 , 2.515336e+07 ) 
1210 ( 3.903967e+06 , 5.019700e+07 ) 
1211 ( -1.717902e+07 , 8.505546e+06 ) 
1212 ( 7.743262e+06 , 5.014935e+07 ) 
1213 ( 2.274554e+07 , 7.171419e+06 ) 
1214 ( 1.074704e+07 , 5.215792e+07 ) 
1215 ( -1.695406e+07 , 1.996753e+07 ) 
1216 ( 1.505285e+06 , 4.639978e+07 ) 
1217 ( 2.256147e+07 , 1.645697e+07 ) 
1218 ( 2.073381e+07 , 3.255893e+07 ) 
1219 ( -3.606568e+06 , 7.068449e+06 ) 
1220 ( 1.399745e+07 , 5.048426e+07 ) 
1221 ( 7.916657e+06 , 1.683298e+07 ) 
1222 ( 1.175885e+07 , 1.042106e+07 ) 
1223 ( -1.308874e+07 , 1.065387e+07 ) 
1224 ( 2.497489e+06 , 2.849450e+07 ) 
1225 ( 1.803709e+07 , 2.304042e+07 ) 
1226 ( 1.258185e+07 , 1.448914e+06 ) 
1227 ( -8.948783e+05 , -2.133776e+06 ) 
1228 ( 1.477309e+06 , 1.944310e+07 ) 
1229 ( 9.025747e+06 , -2.224311e+07 ) 
1230 ( 1.154404e+07 , -2.708743e+07 ) 
1231 ( -1.363850e+07 , 2.237912e+06 ) 
1232 ( 1.574646e+06 , -1.304573e+07 ) 
1233 ( -1.646317e+07 , -8.522837e+06 ) 
1234 ( -3.198230e+06 , -3.576142e+07 ) 
1235 ( 1.685788e+07 , -2.348968e+07 ) 
1236 ( 1.536309e+06 , -3.215858e+07 ) 
1237 ( -3.089220e+07 , -3.849669e+07 ) 
1238 ( -1.697327e+07 , -7.190293e+07 ) 
1239 ( 1.442812e+07 , -4.088619e+07 ) 
1240 ( -1.656481e+07 , -5.207849e+07 ) 
1241 ( -9.068407e+06 , -4.574344e+07 ) 
1242 ( -1.945396e+05 , -8.719220e+07 ) 
1243 ( 1.889636e+07 , -5.176203e+06 ) 
1244 ( -1.218295e+07 , -5.671697e+07 ) 
1245 ( -3.298878e+07 , -3.286365e+07 ) 
1246 ( 5.220121e+06 , -5.950712e+07 ) 
1247 ( -2.169831e+07 , -7.759286e+07 ) 
1248 ( -2.637405e+07 , -1.129195e+08 ) 
1249 ( -5.382293e+07 , -4.070640e+07 ) 
1250 ( -6.363644e+07 , -5.985355e+07 ) 
1251 ( 3.276975e+07 , -2.610828e+07 ) 
1252 ( 5.188933e+07 , -4.322686e+07 ) 
1253 ( 1.862620e+07 , 3.385245e+07 ) 
1254 ( -3.794037e+06 , 1.739470e+07 ) 
1255 ( 9.152134e+06 , 1.101940e+06 ) 
1256 ( 9.562574e+06 , -2.388872e+07 ) 
1257 ( 1.049161e+07 , -1.097755e+06 ) 
1258 ( 2.773668e+07 , -1.725679e+07 ) 
1259 ( 4.625476e+05 , -3.983829e+07 ) 
1260 ( -1.353351e+07 , -1.362312e+07 ) 
1261 ( -7.014485e+06 , 1.190241e+07 ) 
1262 ( 1.236658e+07 , -3.349847e+07 ) 
1263 ( -1.546662e+07 , -2.811232e+07 ) 
1264 ( -1.736855e+07 , -5.107633e+06 ) 
1265 ( 2.121236e+07 , 2.431529e+07 ) 
1266 ( 6.483577e+06 , -2.035979e+07 ) 
1267 ( -1.093569e+07 , -4.784722e+07 ) 
1268 ( -3.045250e+05 , -3.157798e+07 ) 
1269 ( 1.787669e+07 , -9.471684e+06 ) 
1270 ( 1.403975e+07 , -3.697569e+07 ) 
1271 ( -2.496579e+07 , -5.169329e+07 ) 
1272 ( -1.699604e+07 , -3.498284e+07 ) 
1273 ( 1.174184e+07 , -1.948090e+07 ) 
1274 ( 1.339227e+07 , -5.445417e+07 ) 
1275 ( -1.487985e+07 , -4.318563e+07 ) 
1276 ( 1.206929e+06 , -3.515861e+07 ) 
1277 ( -1.283279e+07 , -1.133907e+07 ) 
1278 ( -1.264382e+06 , -3.675370e+07 ) 
1279 ( -4.878150e+06 , -3.566621e+07 ) 
1280 ( 2.431078e+06 , -4.905468e+07 ) 
1281 ( 9.939252e+06 , -2.681995e+07 ) 
1282 ( -1.044271e+07 , -2.942351e+07 ) 
1283 ( -9.321840e+06 , -3.431573e+07 ) 
1284 ( 3.791514e+06 , -4.189504e+07 ) 
1285 ( 1.400347e+06 , -2.790827e+07 ) 
1286 ( 1.597378e+06 , -4.507337e+07 ) 
1287 ( -2.567168e+06 , -1.548285e+07 ) 
1288 ( -3.673950e+06 , -2.633457e+07 ) 
1289 ( -3.091840e+06 , -3.925601e+07 ) 
1290 ( -9.411956e+06 , -1.232724e+07 ) 
1291 ( -1.382658e+07 , 1.461802e+07 ) 
1292 ( 7.527922e+06 , -3.797331e+07 ) 
1293 ( -8.736987e+06 , -4.005171e+07 ) 
1294 ( -1.032039e+07 , -2.273101e+07 ) 
1295 ( 8.967653e+04 , 1.094720e+07 ) 
1296 ( 8.904559e+06 , -1.767124e+07 ) 
1297 ( -2.681398e+06 , -2.814056e+07 ) 
1298 ( 4.537626e+05 , -1.887080e+07 ) 
1299 ( 8.866949e+06 , 2.016263e+07 ) 
1300 ( 9.387177e+06 , -1.660536e+07 ) 
1301 ( -2.007287e+07 , -2.749206e+07 ) 
1302 ( 2.943605e+04 , 7.715089e+06 ) 
1303 ( 4.186232e+06 , 4.009792e+07 ) 
1304 ( 6.672712e+06 , -1.433241e+07 ) 
1305 ( -1.391771e+07 , -3.003265e+07 ) 
1306 ( 1.632256e+07 , -1.611908e+06 ) 
1307 ( 2.220893e+07 , 3.002426e+07 ) 
1308 ( 2.138463e+07 , 4.720861e+06 ) 
1309 ( -1.672853e+07 , -1.388467e+07 ) 
1310 ( 1.993284e+06 , 5.634067e+06 ) 
1311 ( 2.050306e+07 , 4.357472e+07 ) 
1312 ( 2.196054e+07 , 6.905246e+06 ) 
1313 ( -1.968260e+07 , -2.281443e+07 ) 
1314 ( 7.262874e+06 , 1.263790e+07 ) 
1315 ( 2.580815e+07 , 2.614163e+07 ) 
1316 ( 2.069942e+06 , -7.615468e+05 ) 
1317 ( -1.188545e+07 , 1.173546e+07 ) 
1318 ( 1.729761e+07 , 2.083916e+07 ) 
1319 ( 2.386286e+07 , 9.840567e+06 ) 
1320 ( 8.751786e+06 , 2.315096e+07 ) 
1321 ( 7.492485e+06 , -1.155216e+07 ) 
1322 ( 5.047081e+06 , 8.464630e+06 ) 
1323 ( 3.513254e+06 , 1.372640e+07 ) 
1324 ( 1.929000e+07 , -4.443160e+06 ) 
1325 ( -1.196430e+07 , 2.757709e+07 ) 
1326 ( 1.030143e+07 , 2.345038e+07 ) 
1327 ( 2.011989e+07 , -1.244722e+07 ) 
1328 ( -3.563500e+06 , 2.008172e+07 ) 
1329 ( 1.021252e+07 , -1.455170e+06 ) 
1330 ( -2.158244e+07 , 4.290084e+06 ) 
1331 ( -2.383297e+07 , -6.786782e+06 ) 
1332 ( -1.288386e+07 , 1.144856e+07 ) 
1333 ( 3.179310e+07 , 3.522270e+06 ) 
1334 ( -1.457307e+07 , -7.624564e+06 ) 
1335 ( -5.669365e+06 , 1.669333e+05 ) 
1336 ( -1.231617e+07 , 1.296854e+07 ) 
1337 ( 2.813190e+07 , 3.011804e+07 ) 
1338 ( 1.280881e+07 , 1.582489e+07 ) 
1339 ( -3.018120e+07 , -4.607020e+07 ) 
1340 ( -3.290849e+07 , -1.757240e+07 ) 
1341 ( 2.751502e+06 , -1.192619e+07 ) 
1342 ( -2.123899e+07 , 2.037532e+06 ) 
1343 ( -9.711733e+06 , -1.696547e+07 ) 
1344 ( 6.982893e+06 , 1.957503e+07 ) 
1345 ( 1.437339e+07 , 2.046728e+07 ) 
1346 ( -8.748313e+06 , 1.171853e+07 ) 
1347 ( 1.042888e+04 , -1.976390e+07 ) 
1348 ( -1.658495e+07 , 1.207254e+07 ) 
1349 ( -4.417845e+06 , 2.289761e+06 ) 
1350 ( 8.447629e+06 , 6.868482e+06 ) 
1351 ( 1.239290e+07 , -2.627942e+07 ) 
1352 ( 8.301525e+05 , -1.809929e+06 ) 
1353 ( -1.434739e+07 , -1.191542e+07 ) 
1354 ( -4.946479e+06 , 1.286703e+07 ) 
1355 ( 1.709648e+07 , -2.480291e+06 ) 
1356 ( 6.782843e+06 , 1.298238e+07 ) 
1357 ( -9.531896e+05 , 9.809155e+05 ) 
1358 ( 2.956797e+06 , 2.278124e+07 ) 
1359 ( 1.049367e+07 , -3.576671e+06 ) 
1360 ( 7.644426e+06 , 1.885469e+07 ) 
1361 ( 5.002871e+06 , -1.240404e+07 ) 
1362 ( 6.243176e+06 , 4.045428e+07 ) 
1363 ( 3.406479e+06 , 1.837523e+07 ) 
1364 ( 1.192870e+07 , 2.531712e+07 ) 
1365 ( -7.972949e+05 , -8.369451e+06 ) 
1366 ( 3.806743e+06 , 3.180164e+07 ) 
1367 ( 1.029668e+07 , 9.109577e+06 ) 
1368 ( 1.680266e+07 , 3.787589e+07 ) 
1369 ( 4.027672e+06 , 3.432127e+06 ) 
1370 ( -4.791480e+06 , 4.112957e+07 ) 
1371 ( 1.447088e+07 , 2.229746e+07 ) 
1372 ( 1.348859e+07 , 3.784065e+07 ) 
1373 ( 1.213218e+07 , 6.702412e+06 ) 
1374 ( -4.249713e+05 , 3.893809e+07 ) 
1375 ( -1.187817e+07 , 2.034220e+07 ) 
1376 ( -7.222758e+06 , 4.009679e+07 ) 
1377 ( 1.627294e+07 , -3.806251e+06 ) 
1378 ( -3.540951e+06 , 2.280543e+07 ) 
1379 ( -5.784090e+06 , 2.216771e+07 ) 
1380 ( 8.073020e+06 , 3.224448e+07 ) 
1381 ( 1.814285e+07 , 1.375300e+07 ) 
1382 ( 1.116815e+06 , 1.976719e+07 ) 
1383 ( -1.008542e+07 , 1.026151e+07 ) 
1384 ( -3.905576e+06 , 2.410216e+07 ) 
1385 ( 7.151358e+04 , 2.116584e+07 ) 
1386 ( 9.013939e+06 , -9.001690e+06 ) 
1387 ( -8.186781e+05 , -6.097721e+06 ) 
1388 ( -1.049401e+07 , 1.208119e+07 ) 
1389 ( 5.822883e+06 , 8.947513e+06 ) 
1390 ( -2.254534e+06 , -1.396624e+07 ) 
1391 ( -1.389592e+07 , -1.194580e+07 ) 
1392 ( -2.152540e+06 , -1.628943e+07 ) 
1393 ( 4.584105e+06 , 1.462501e+07 ) 
1394 ( 3.551967e+06 , -3.518140e+07 ) 
1395 ( 7.559779e+05 , -3.014354e+07 ) 
1396 ( -1.082337e+07 , -1.569315e+07 ) 
1397 ( -1.231613e+07 , 1.575123e+07 ) 
1398 ( 4.591983e+06 , -5.500486e+07 ) 
1399 ( -2.466914e+06 , -4.991934e+07 ) 
1400 ( -2.341851e+07 , -4.149518e+07 ) 
1401 ( -2.178538e+07 , -8.828124e+06 ) 
1402 ( -1.740708e+07 , -6.898162e+07 ) 
1403 ( -2.405215e+06 , -5.467241e+07 ) 
1404 ( -2.003171e+07 , -6.608680e+07 ) 
1405 ( -1.540800e+07 , 2.551081e+06 ) 
1406 ( 3.652180e+06 , -8.298556e+07 ) 
1407 ( 1.350331e+07 , -7.929431e+07 ) 
1408 ( -2.512250e+07 , -6.794904e+07 ) 
1409 ( -9.007210e+06 , -1.674872e+07 ) 
1410 ( 5.944365e+06 , -8.495177e+07 ) 
1411 ( -5.805019e+06 , -6.709461e+07 ) 
1412 ( -2.184038e+07 , -8.355726e+07 ) 
1413 ( -3.651148e+07 , -5.598749e+07 ) 
1414 ( -3.851307e+07 , -6.155922e+07 ) 
1415 ( -2.489074e+07 , -6.614813e+07 ) 
1416 ( -2.425080e+07 , -9.799189e+07 ) 
1417 ( -3.014463e+07 , -7.018750e+07 ) 
1418 ( -3.338201e+07 , -5.226164e+07 ) 
1419 ( -2.325909e+07 , -9.593971e+07 ) 
1420 ( -4.867011e+06 , -7.793416e+07 ) 
1421 ( 1.411645e+07 , 1.280588e+06 ) 
1422 ( -4.076239e+06 , -1.513777e+07 ) 
1423 ( 2.552183e+07 , 4.225522e+07 ) 
1424 ( 6.064059e+07 , 1.940214e+07 ) 
1425 ( 3.618170e+07 , 1.461546e+07 ) 
1426 ( 3.471577e+07 , 8.198110e+07 ) 
1427 ( -2.916574e+07 , 1.355178e+07 ) 
1428 ( -3.797624e+06 , -2.120975e+07 ) 
1429 ( 1.145368e+06 , -1.898963e+07 ) 
1430 ( 9.081370e+06 , 2.311965e+07 ) 
1431 ( -2.600770e+06 , 2.758394e+07 ) 
1432 ( 1.082003e+07 , 7.366978e+07 ) 
1433 ( 7.105311e+06 , -9.366551e+06 ) 
1434 ( -1.096227e+07 , 1.654789e+07 ) 
1435 ( -9.256379e+06 , 5.838569e+07 ) 
1436 ( 9.970386e+06 , 3.845511e+07 ) 
1437 ( 2.584359e+07 , -3.170483e+07 ) 
1438 ( 1.103154e+07 , 1.038777e+07 ) 
1439 ( 1.127835e+07 , 1.996182e+07 ) 
1440 ( 1.269509e+07 , -3.090220e+06 ) 
1441 ( -1.444471e+07 , -3.874518e+07 ) 
1442 ( -1.666433e+07 , -2.773424e+07 ) 
1443 ( -2.483747e+05 , 3.918854e+06 ) 
1444 ( -1.278781e+07 , 7.080773e+05 ) 
1445 ( 4.834473e+06 , -2.619860e+07 ) 
1446 ( -5.492750e+06 , -2.486107e+07 ) 
1447 ( 8.162693e+05 , 7.906996e+06 ) 
1448 ( -6.057451e+05 , -2.147160e+07 ) 
1449 ( -5.148664e+06 , -4.245869e+07 ) 
1450 ( -1.119321e+05 , -3.806012e+07 ) 
1451 ( 1.105132e+07 , -1.649643e+06 ) 
1452 ( 2.968526e+06 , -3.435206e+07 ) 
1453 ( -1.846432e+07 , -3.497319e+07 ) 
1454 ( 3.580976e+06 , -5.019388e+07 ) 
1455 ( 1.141434e+07 , -8.479388e+06 ) 
1456 ( -4.653987e+05 , -4.165570e+07 ) 
1457 ( -1.288402e+07 , -4.181798e+07 ) 
1458 ( -7.115669e+06 , -4.132966e+07 ) 
1459 ( 6.252165e+06 , -8.476940e+05 ) 
1460 ( 8.841197e+06 , -4.871663e+07 ) 
1461 ( -1.008460e+05 , -2.519876e+07 ) 
1462 ( 8.517433e+06 , -3.816963e+07 ) 
1463 ( -6.694099e+06 , -2.811310e+06 ) 
1464 ( -1.358495e+06 , -3.722594e+07 ) 
1465 ( -6.916668e+06 , -2.963022e+07 ) 
1466 ( 1.453068e+07 , -3.785373e+07 ) 
1467 ( 2.922558e+06 , -1.308315e+07 ) 
1468 ( 1.449961e+07 , -4.402851e+07 ) 
1469 ( -5.707253e+06 , -3.665381e+06 ) 
1470 ( 8.070238e+06 , -1.557405e+07 ) 
1471 ( -4.451189e+06 , -6.761619e+05 ) 
1472 ( 1.408877e+07 , -2.468452e+07 ) 
1473 ( -5.192770e+06 , -9.326878e+06 ) 
1474 ( 1.146729e+07 , -8.564254e+06 ) 
1475 ( 7.935659e+06 , -8.576999e+06 ) 
1476 ( 1.136410e+07 , -1.830651e+07 ) 
1477 ( 8.446528e+06 , 4.243871e+06 ) 
1478 ( 6.378972e+06 , 1.504864e+07 ) 
1479 ( -9.055925e+06 , -5.123251e+06 ) 
1480 ( 8.861356e+06 , -4.070159e+05 ) 
1481 ( -4.550878e+06 , 2.098631e+07 ) 
1482 ( 2.401692e+06 , 2.434074e+07 ) 
1483 ( 9.271668e+06 , -1.042848e+07 ) 
1484 ( 3.679576e+06 , 2.331622e+07 ) 
1485 ( 1.032327e+07 , 1.051487e+07 ) 
1486 ( -1.418658e+06 , 4.222369e+07 ) 
1487 ( -1.228001e+06 , 2.498823e+06 ) 
1488 ( 1.465424e+05 , 2.520843e+07 ) 
1489 ( 1.769583e+07 , 1.086703e+07 ) 
1490 ( 3.727114e+06 , 4.448046e+07 ) 
1491 ( 1.743190e+05 , -6.925015e+06 ) 
1492 ( -3.064206e+06 , 4.339951e+07 ) 
1493 ( 2.598747e+07 , 2.747882e+07 ) 
1494 ( -8.207275e+06 , 5.091994e+07 ) 
1495 ( -6.230815e+06 , -6.175983e+06 ) 
1496 ( 6.137591e+05 , 5.386631e+07 ) 
1497 ( 2.690727e+07 , -3.467370e+06 ) 
1498 ( -9.590698e+06 , 4.937785e+07 ) 
1499 ( -8.605776e+06 , 8.687578e+05 ) 
1500 ( -1.505866e+07 , 4.297546e+07 ) 
1501 ( 1.354330e+07 , 1.290994e+07 ) 
1502 ( -1.382779e+07 , 4.503978e+07 ) 
1503 ( -2.304290e+06 , -1.133229e+07 ) 
1504 ( -1.061488e+07 , 5.154640e+07 ) 
1505 ( 3.133304e+07 , -4.494491e+07 ) 
1506 ( 4.091137e+06 , 2.099543e+06 ) 
1507 ( -6.000380e+06 , 3.522307e+07 ) 
1508 ( 1.020749e+07 , 1.870787e+07 ) 
1509 ( -3.778980e+07 , 3.440956e+07 ) 
1510 ( 7.218926e+05 , 9.624302e+05 ) 
1511 ( 1.873215e+07 , -3.249967e+07 ) 
1512 ( -1.477107e+07 , 4.436686e+06 ) 
1513 ( -1.315952e+07 , -2.396785e+07 ) 
1514 ( 1.929379e+07 , -4.720984e+07 ) 
1515 ( 3.169438e+07 , -1.246374e+07 ) 
1516 ( 2.780689e+07 , -1.283585e+07 ) 
1517 ( -2.736595e+07 , -2.994987e+07 ) 
1518 ( -9.998162e+05 , -2.967679e+07 ) 
1519 ( -5.747957e+06 , 3.091042e+07 ) 
1520 ( -2.120078e+06 , -4.934336e+07 ) 
