  Freq. No. =   1,  f = 6.0418e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( 3.678731e+06 , -4.713562e+06 ) 
1025 ( 3.072822e+05 , 2.871066e+06 ) 
1026 ( 2.106656e+06 , 1.038243e+06 ) 
1027 ( 2.074044e+06 , -6.123607e+05 ) 
1028 ( 1.854538e+06 , 2.570964e+06 ) 
1029 ( -4.384620e+05 , 1.254119e+05 ) 
1030 ( 1.216026e+06 , 1.185995e+06 ) 
1031 ( 2.477415e+06 , -1.734492e+05 ) 
1032 ( 2.327766e+06 , 4.846867e+05 ) 
1033 ( 5.018221e+05 , 5.957589e+05 ) 
1034 ( 1.561809e+06 , 1.203662e+06 ) 
1035 ( -3.617904e+03 , -1.271409e+05 ) 
1036 ( 4.572786e+05 , 3.005799e+05 ) 
1037 ( 3.293778e+05 , 1.338479e+06 ) 
1038 ( 2.056429e+06 , 7.201309e+05 ) 
1039 ( 2.606225e+06 , 3.521415e+05 ) 
1040 ( 2.265474e+06 , 1.459774e+06 ) 
1041 ( -1.311936e+06 , 9.345418e+04 ) 
1042 ( 1.754200e+06 , 8.880705e+05 ) 
1043 ( 2.378382e+06 , 1.941596e+04 ) 
1044 ( 1.757194e+06 , 3.306669e+05 ) 
1045 ( 1.121955e+06 , 1.748793e+06 ) 
1046 ( 1.923948e+06 , 1.575547e+06 ) 
1047 ( 2.033037e+06 , 4.503413e+05 ) 
1048 ( 2.305962e+06 , 1.459565e+06 ) 
1049 ( -3.421862e+05 , 1.622449e+06 ) 
1050 ( 8.784779e+05 , 8.596559e+05 ) 
1051 ( 9.709856e+05 , -8.004985e+05 ) 
1052 ( 1.403787e+06 , 1.183076e+06 ) 
1053 ( 1.092508e+06 , 1.864472e+06 ) 
1054 ( 1.082712e+06 , 1.723505e+06 ) 
1055 ( 9.669071e+05 , 1.271413e+05 ) 
1056 ( 1.290246e+06 , 1.113976e+06 ) 
1057 ( 1.301334e+05 , 1.777652e+06 ) 
1058 ( -8.036585e+05 , 1.541195e+06 ) 
1059 ( -5.061511e+05 , 8.438383e+05 ) 
1060 ( 4.657230e+05 , 1.813032e+06 ) 
1061 ( 3.095302e+05 , 1.710686e+06 ) 
1062 ( 5.489672e+05 , 1.264780e+06 ) 
1063 ( -2.537639e+05 , 7.775291e+04 ) 
1064 ( -5.847826e+05 , 1.325430e+06 ) 
1065 ( 1.331877e+06 , 8.966666e+05 ) 
1066 ( 7.484657e+05 , 1.614119e+06 ) 
1067 ( 3.682100e+05 , 1.761537e+06 ) 
1068 ( 1.081953e+06 , 1.477470e+06 ) 
1069 ( 8.551249e+05 , 3.841299e+05 ) 
1070 ( -9.071496e+05 , 1.194971e+06 ) 
1071 ( -1.433956e+06 , 1.227980e+06 ) 
1072 ( 2.573810e+05 , 1.315608e+06 ) 
1073 ( 1.470871e+06 , 1.717482e+06 ) 
1074 ( 2.779418e+05 , 3.153249e+06 ) 
1075 ( -1.861536e+06 , 2.872414e+06 ) 
1076 ( -8.453077e+05 , 1.912406e+06 ) 
1077 ( 1.674350e+06 , -4.562033e+05 ) 
1078 ( -1.403758e+06 , -1.250627e+06 ) 
1079 ( -7.931957e+05 , 1.970269e+06 ) 
1080 ( 1.168082e+06 , 2.354154e+06 ) 
1081 ( -2.779460e+05 , -1.452288e+06 ) 
1082 ( -6.401171e+05 , 6.074707e+05 ) 
1083 ( -1.941488e+06 , 7.279999e+04 ) 
1084 ( -4.572697e+06 , -1.997606e+06 ) 
1085 ( 1.627140e+06 , 7.490157e+05 ) 
1086 ( -1.220203e+06 , 1.116913e+06 ) 
1087 ( -9.551649e+05 , 3.598931e+06 ) 
1088 ( -2.075168e+05 , 2.116084e+06 ) 
1089 ( -2.187110e+06 , -3.161194e+06 ) 
1090 ( -3.021141e+06 , -1.710847e+06 ) 
1091 ( -4.934790e+06 , 2.401414e+05 ) 
1092 ( -2.705842e+06 , -5.641598e+05 ) 
1093 ( 1.289322e+06 , -3.079547e+06 ) 
1094 ( -1.165039e+06 , -1.809512e+06 ) 
1095 ( 8.441234e+05 , 2.383231e+06 ) 
1096 ( 1.474395e+06 , -1.233393e+06 ) 
1097 ( 1.137840e+06 , -6.011746e+06 ) 
1098 ( -1.147435e+06 , -4.023196e+06 ) 
1099 ( -3.147942e+06 , 3.389888e+05 ) 
1100 ( -1.784183e+06 , -3.023844e+06 ) 
1101 ( 1.164947e+06 , -4.196901e+06 ) 
1102 ( -1.960861e+06 , -2.631327e+06 ) 
1103 ( -2.575547e+06 , 1.059658e+06 ) 
1104 ( -9.640386e+05 , -3.395249e+06 ) 
1105 ( 5.736507e+05 , -5.586176e+06 ) 
1106 ( -9.237465e+05 , -3.660769e+06 ) 
1107 ( -2.227459e+06 , 6.316548e+05 ) 
1108 ( -1.975141e+06 , -3.082198e+06 ) 
1109 ( 6.760446e+05 , -4.009995e+06 ) 
1110 ( -2.622528e+06 , -2.620001e+06 ) 
1111 ( -2.217412e+06 , 7.756533e+05 ) 
1112 ( -9.309849e+05 , -3.256487e+06 ) 
1113 ( -1.349723e+05 , -3.706333e+06 ) 
1114 ( -2.392886e+06 , -2.617001e+06 ) 
1115 ( -2.978279e+06 , -1.575414e+05 ) 
1116 ( -3.070116e+06 , -2.784817e+06 ) 
1117 ( 1.580757e+05 , -2.073142e+06 ) 
1118 ( -3.011125e+06 , -2.067018e+06 ) 
1119 ( -2.530789e+06 , 4.056623e+05 ) 
1120 ( -2.176495e+06 , -2.066192e+06 ) 
1121 ( -6.503861e+05 , -3.143839e+06 ) 
1122 ( -1.849727e+06 , -3.669055e+06 ) 
1123 ( -2.246548e+06 , -1.783487e+06 ) 
1124 ( -3.079854e+06 , -2.927556e+06 ) 
1125 ( 1.547984e+05 , -1.337555e+06 ) 
1126 ( -1.871178e+06 , -5.230340e+05 ) 
1127 ( -1.916592e+06 , -3.446878e+04 ) 
1128 ( -1.444832e+06 , -2.759410e+06 ) 
1129 ( -2.300238e+06 , -1.235329e+06 ) 
1130 ( -2.283032e+06 , -1.901185e+06 ) 
1131 ( -1.125521e+06 , -9.669792e+05 ) 
1132 ( -2.372282e+06 , -1.236747e+06 ) 
1133 ( 1.032070e+05 , -9.480157e+05 ) 
1134 ( -1.584511e+06 , -1.443399e+06 ) 
1135 ( -1.545918e+06 , -1.278407e+06 ) 
1136 ( -1.794515e+06 , -1.896801e+06 ) 
1137 ( 6.336604e+04 , -6.441568e+05 ) 
1138 ( -1.906222e+06 , -8.113646e+05 ) 
1139 ( -2.148605e+06 , -1.661647e+05 ) 
1140 ( -1.693935e+06 , -1.102067e+06 ) 
1141 ( -5.368599e+05 , -9.281489e+05 ) 
1142 ( -1.860291e+06 , -1.486855e+06 ) 
1143 ( -1.580715e+06 , -4.478570e+05 ) 
1144 ( -1.906639e+06 , -1.003155e+06 ) 
1145 ( -7.573104e+05 , -1.869761e+06 ) 
1146 ( -1.014682e+06 , -1.135845e+06 ) 
1147 ( -5.700059e+05 , 5.633075e+05 ) 
1148 ( -1.598391e+06 , -1.477830e+06 ) 
1149 ( -6.490003e+05 , -8.948739e+05 ) 
1150 ( -7.751838e+05 , -6.624357e+05 ) 
1151 ( -5.379012e+05 , -1.581818e+05 ) 
1152 ( -9.078665e+05 , -1.016167e+06 ) 
1153 ( -6.395239e+05 , 9.139122e+04 ) 
1154 ( 1.383037e+06 , -2.301239e+05 ) 
1155 ( 2.109771e+06 , -1.010674e+05 ) 
1156 ( -8.520480e+04 , -3.337616e+05 ) 
1157 ( -5.129183e+05 , -8.428015e+05 ) 
1158 ( -6.738023e+04 , -1.139516e+06 ) 
1159 ( 9.508920e+05 , -1.007564e+06 ) 
1160 ( 1.255529e+06 , -6.925603e+05 ) 
1161 ( -6.131383e+05 , 1.334299e+06 ) 
1162 ( 5.510058e+05 , 1.275102e+06 ) 
1163 ( 1.263307e+06 , -2.022074e+05 ) 
1164 ( -1.597080e+05 , -4.424728e+05 ) 
1165 ( -1.491728e+06 , 8.350806e+05 ) 
1166 ( 7.418310e+05 , -1.047870e+06 ) 
1167 ( 2.493002e+06 , -7.888097e+05 ) 
1168 ( 7.767039e+05 , 1.048546e+06 ) 
1169 ( -1.747975e+06 , 1.664753e+06 ) 
1170 ( 1.220511e+06 , 8.176610e+05 ) 
1171 ( 2.885312e+06 , -2.781921e+06 ) 
1172 ( 8.086945e+05 , -1.324076e+06 ) 
1173 ( -3.845838e+05 , 2.678563e+06 ) 
1174 ( 1.817656e+06 , 1.175857e+06 ) 
1175 ( 2.420815e+06 , -2.498522e+05 ) 
1176 ( 1.509978e+06 , 1.796802e+06 ) 
1177 ( -1.008512e+04 , 1.076776e+06 ) 
1178 ( 2.617443e+06 , 1.290641e+06 ) 
1179 ( 2.636841e+06 , -1.240813e+06 ) 
1180 ( 2.078744e+06 , 5.596987e+05 ) 
1181 ( -2.082237e+05 , 3.550295e+06 ) 
1182 ( 1.698354e+06 , 8.846488e+05 ) 
1183 ( 2.784486e+06 , -8.839993e+05 ) 
1184 ( 2.538002e+06 , 1.889118e+06 ) 
1185 ( -1.623613e+06 , 9.753153e+05 ) 
1186 ( 2.308502e+06 , 8.801714e+05 ) 
1187 ( 3.194844e+06 , -2.138649e+06 ) 
1188 ( 1.578420e+06 , -2.232061e+04 ) 
1189 ( 6.745228e+05 , 4.574258e+06 ) 
1190 ( 8.107027e+05 , 3.895074e+06 ) 
1191 ( 1.874685e+06 , 3.113621e+05 ) 
1192 ( 2.409266e+06 , 2.438357e+06 ) 
1193 ( -1.299477e+06 , 3.352282e+06 ) 
1194 ( 1.430441e+06 , 2.391551e+06 ) 
1195 ( 1.321488e+06 , -1.019885e+06 ) 
1196 ( 2.989241e+05 , 3.345968e+06 ) 
1197 ( -6.356041e+04 , 3.781047e+06 ) 
1198 ( 1.875186e+06 , 3.136998e+06 ) 
1199 ( 2.854829e+06 , -4.583960e+05 ) 
1200 ( 2.109844e+06 , 2.637578e+06 ) 
1201 ( 1.478448e+05 , 3.588291e+06 ) 
1202 ( 1.921449e+06 , 2.966079e+06 ) 
1203 ( 1.266217e+06 , -8.175730e+05 ) 
1204 ( 1.582842e+06 , 2.982394e+06 ) 
1205 ( 6.684316e+05 , 3.639725e+06 ) 
1206 ( 2.565103e+06 , 3.185553e+06 ) 
1207 ( 2.096075e+06 , 5.056091e+05 ) 
1208 ( 2.267268e+06 , 3.277655e+06 ) 
1209 ( 7.632177e+05 , 2.228663e+06 ) 
1210 ( 3.332949e+06 , 2.200997e+06 ) 
1211 ( 2.604086e+06 , -1.435928e+05 ) 
1212 ( 2.784099e+06 , 2.645939e+06 ) 
1213 ( 1.069517e+06 , 2.593825e+06 ) 
1214 ( 2.736539e+06 , 2.861928e+06 ) 
1215 ( 2.071913e+06 , 9.283684e+05 ) 
1216 ( 3.292469e+06 , 2.541929e+06 ) 
1217 ( 1.228005e+06 , 1.009567e+06 ) 
1218 ( 3.035661e+06 , 2.612805e+06 ) 
1219 ( 2.306201e+06 , 1.430342e+06 ) 
1220 ( 2.760750e+06 , 2.595500e+06 ) 
1221 ( 5.121614e+05 , 2.074570e+06 ) 
1222 ( 5.455155e+05 , 2.629907e+06 ) 
1223 ( 1.312114e+06 , 2.156086e+06 ) 
1224 ( 2.585832e+06 , 3.015644e+06 ) 
1225 ( 2.154388e+06 , 6.678153e+05 ) 
1226 ( 2.812545e+06 , 1.910534e+06 ) 
1227 ( 1.445221e+06 , 2.058524e+06 ) 
1228 ( 1.926285e+06 , 1.979380e+06 ) 
1229 ( 8.534972e+05 , 2.513370e+05 ) 
1230 ( 9.481886e+05 , 1.953009e+06 ) 
1231 ( 5.383545e+05 , 2.279463e+06 ) 
1232 ( 2.221286e+06 , 1.786657e+06 ) 
1233 ( 2.225005e+05 , 1.072397e+06 ) 
1234 ( 1.711409e+06 , 1.704333e+06 ) 
1235 ( 1.080274e+06 , 1.834827e+06 ) 
1236 ( 9.283572e+05 , 2.061312e+06 ) 
1237 ( 1.019691e+06 , 8.037400e+05 ) 
1238 ( 1.521686e+06 , 1.835964e+06 ) 
1239 ( 8.302904e+05 , 9.785903e+05 ) 
1240 ( 1.875289e+06 , 1.418389e+06 ) 
1241 ( 1.638840e+06 , 2.450016e+06 ) 
1242 ( 2.042337e+06 , 2.984866e+06 ) 
1243 ( 3.879823e+05 , 2.208374e+06 ) 
1244 ( 1.506719e+06 , 2.547135e+06 ) 
1245 ( 7.705549e+05 , 5.178812e+05 ) 
1246 ( -1.868150e+06 , -5.730874e+05 ) 
1247 ( 1.869037e+05 , 4.814127e+05 ) 
1248 ( 1.594404e+06 , 2.064542e+06 ) 
1249 ( 2.725620e+06 , -3.676192e+05 ) 
1250 ( 1.612958e+06 , -3.893212e+05 ) 
1251 ( -2.767826e+06 , -1.198840e+06 ) 
1252 ( -2.552389e+06 , -1.111430e+06 ) 
1253 ( -4.761932e+05 , -7.079464e+05 ) 
1254 ( -2.450486e+06 , -8.029041e+05 ) 
1255 ( -2.345097e+05 , 1.624278e+05 ) 
1256 ( -6.858500e+04 , -1.259928e+05 ) 
1257 ( 2.367279e+06 , -7.636318e+05 ) 
1258 ( 1.576846e+06 , -3.641476e+05 ) 
1259 ( -2.088852e+06 , -3.139519e+05 ) 
1260 ( -2.603412e+06 , -1.034432e+06 ) 
1261 ( 1.317363e+06 , -1.112133e+06 ) 
1262 ( -7.869356e+05 , -1.699127e+06 ) 
1263 ( -1.922010e+06 , 1.543503e+05 ) 
1264 ( -1.918901e+05 , -2.136252e+05 ) 
1265 ( 1.469798e+06 , -3.882240e+06 ) 
1266 ( -1.035883e+06 , -2.935674e+06 ) 
1267 ( -2.083771e+06 , -8.738811e+05 ) 
1268 ( -7.672743e+05 , -2.664485e+06 ) 
1269 ( 1.380284e+05 , -2.153010e+06 ) 
1270 ( -2.350143e+06 , -2.585883e+06 ) 
1271 ( -1.935751e+06 , -6.485131e+05 ) 
1272 ( -1.392598e+06 , -2.531024e+06 ) 
1273 ( -3.833953e+05 , -3.054593e+06 ) 
1274 ( -2.621032e+06 , -2.980728e+06 ) 
1275 ( -2.333759e+06 , -1.316209e+06 ) 
1276 ( -2.566487e+06 , -2.988762e+06 ) 
1277 ( -1.227105e+04 , -2.617557e+06 ) 
1278 ( -2.376038e+06 , -2.097520e+06 ) 
1279 ( -2.619664e+06 , 3.640013e+04 ) 
1280 ( -2.497296e+06 , -2.542603e+06 ) 
1281 ( 7.175744e+05 , -3.266795e+06 ) 
1282 ( -1.837240e+06 , -2.398298e+06 ) 
1283 ( -2.634203e+06 , 9.854733e+04 ) 
1284 ( -2.086978e+06 , -2.204812e+06 ) 
1285 ( -6.469325e+05 , -2.708413e+06 ) 
1286 ( -2.712770e+06 , -3.719940e+06 ) 
1287 ( -2.186486e+06 , -6.278805e+05 ) 
1288 ( -1.983492e+06 , -2.578901e+06 ) 
1289 ( -5.767594e+05 , -4.357668e+06 ) 
1290 ( -1.342948e+06 , -3.923263e+06 ) 
1291 ( -1.870078e+06 , -1.033926e+06 ) 
1292 ( -2.481707e+06 , -4.291111e+06 ) 
1293 ( 5.421259e+05 , -3.345811e+06 ) 
1294 ( -2.110928e+06 , -3.016952e+06 ) 
1295 ( -1.809302e+06 , 6.864101e+05 ) 
1296 ( -1.005041e+06 , -3.249674e+06 ) 
1297 ( -1.534611e+06 , -4.034703e+06 ) 
1298 ( -2.879238e+06 , -3.732911e+06 ) 
1299 ( -2.308161e+06 , -4.389418e+05 ) 
1300 ( -2.687453e+06 , -3.515827e+06 ) 
1301 ( -8.600800e+05 , -2.390418e+06 ) 
1302 ( -2.470661e+06 , -2.383137e+06 ) 
1303 ( -1.508816e+06 , 9.720955e+04 ) 
1304 ( -2.465481e+06 , -3.162828e+06 ) 
1305 ( -1.014792e+06 , -2.649488e+06 ) 
1306 ( -3.465549e+06 , -2.950217e+06 ) 
1307 ( -2.476985e+06 , -5.967927e+05 ) 
1308 ( -2.693414e+06 , -2.608440e+06 ) 
1309 ( -1.679515e+06 , -1.452299e+06 ) 
1310 ( -3.263335e+06 , -1.673672e+06 ) 
1311 ( -2.307745e+06 , -8.746403e+04 ) 
1312 ( -3.504127e+06 , -2.561905e+06 ) 
1313 ( -7.985682e+05 , -8.437786e+05 ) 
1314 ( -1.841427e+06 , -2.496425e+06 ) 
1315 ( -1.398501e+06 , -1.098486e+06 ) 
1316 ( -2.668885e+06 , -1.755003e+06 ) 
1317 ( -7.962647e+05 , -2.591205e+05 ) 
1318 ( -1.365353e+06 , -1.523835e+06 ) 
1319 ( -1.205227e+06 , -2.196704e+06 ) 
1320 ( -1.554653e+06 , -2.566786e+06 ) 
1321 ( -1.302768e+06 , 4.951973e+05 ) 
1322 ( -2.247309e+06 , -8.774977e+05 ) 
1323 ( -1.174968e+06 , -2.262453e+06 ) 
1324 ( -9.333166e+05 , -1.068837e+06 ) 
1325 ( -1.470380e+06 , 1.388726e+06 ) 
1326 ( -8.335100e+05 , -2.805705e+05 ) 
1327 ( 5.432985e+05 , -8.013271e+05 ) 
1328 ( -1.824149e+06 , -2.697370e+05 ) 
1329 ( -5.030261e+05 , 6.612343e+05 ) 
1330 ( -7.156099e+05 , -5.873974e+05 ) 
1331 ( -7.239423e+05 , -1.725754e+06 ) 
1332 ( -6.153312e+05 , -6.600086e+05 ) 
1333 ( -1.238986e+06 , 9.597906e+04 ) 
1334 ( -2.078953e+06 , -5.182864e+05 ) 
1335 ( 5.787619e+05 , 5.434510e+05 ) 
1336 ( -6.090219e+05 , -2.818349e+05 ) 
1337 ( -1.800369e+06 , 5.346786e+05 ) 
1338 ( -6.273855e+05 , -4.909849e+05 ) 
1339 ( -1.143941e+06 , -1.674331e+06 ) 
1340 ( -2.368819e+06 , -8.809348e+05 ) 
1341 ( 7.290810e+04 , 4.451247e+05 ) 
1342 ( 1.166747e+06 , 6.066131e+05 ) 
1343 ( 2.265721e+06 , 5.741586e+05 ) 
1344 ( 8.494607e+05 , 1.753471e+05 ) 
1345 ( -8.701115e+05 , -8.539664e+05 ) 
1346 ( 1.139760e+06 , -8.640706e+04 ) 
1347 ( 1.089949e+06 , 2.067634e+05 ) 
1348 ( 8.863426e+05 , 2.170834e+05 ) 
1349 ( 8.625913e+05 , 7.254784e+05 ) 
1350 ( 1.973769e+06 , 1.189209e+06 ) 
1351 ( 1.868959e+06 , 2.961233e+05 ) 
1352 ( 1.836544e+06 , 3.654368e+05 ) 
1353 ( 7.236743e+04 , 3.579863e+05 ) 
1354 ( 1.854976e+06 , 2.850388e+05 ) 
1355 ( 2.163066e+06 , 1.899989e+05 ) 
1356 ( 2.026640e+06 , 1.041633e+06 ) 
1357 ( -3.223226e+05 , 7.708625e+05 ) 
1358 ( 8.052507e+05 , 1.047182e+06 ) 
1359 ( 1.646248e+06 , -5.263346e+05 ) 
1360 ( 1.701273e+06 , 2.392626e+05 ) 
1361 ( -2.460299e+05 , 1.341736e+06 ) 
1362 ( 2.168162e+06 , 2.328178e+06 ) 
1363 ( 2.101668e+06 , 8.706081e+05 ) 
1364 ( 1.029836e+06 , 1.596386e+06 ) 
1365 ( 1.185916e+06 , 1.549822e+06 ) 
1366 ( 3.255700e+06 , 2.117803e+06 ) 
1367 ( 2.834477e+06 , 8.258144e+05 ) 
1368 ( 2.924814e+06 , 2.402934e+06 ) 
1369 ( 1.335042e+06 , 1.105427e+06 ) 
1370 ( 3.540743e+06 , 2.313438e+06 ) 
1371 ( 2.652955e+06 , 8.349640e+05 ) 
1372 ( 3.427347e+06 , 2.010560e+06 ) 
1373 ( 7.437106e+05 , 2.217654e+06 ) 
1374 ( 2.425278e+06 , 2.315995e+06 ) 
1375 ( 2.970329e+06 , 7.689092e+05 ) 
1376 ( 3.557680e+06 , 2.527640e+06 ) 
1377 ( -1.120920e+03 , 2.040140e+06 ) 
1378 ( 2.169839e+06 , 2.062242e+06 ) 
1379 ( 1.772134e+06 , -2.591592e+05 ) 
1380 ( 2.035547e+06 , 2.003020e+06 ) 
1381 ( 1.058746e+06 , 2.272674e+06 ) 
1382 ( 2.922456e+06 , 3.594419e+06 ) 
1383 ( 2.744277e+06 , 1.399287e+06 ) 
1384 ( 2.780820e+06 , 2.561097e+06 ) 
1385 ( 7.037825e+05 , 2.817515e+06 ) 
1386 ( 1.470995e+06 , 4.033023e+06 ) 
1387 ( 1.294657e+06 , 1.578380e+06 ) 
1388 ( 2.561738e+06 , 3.833280e+06 ) 
1389 ( 3.838005e+05 , 4.115275e+06 ) 
1390 ( 1.773355e+06 , 4.231348e+06 ) 
1391 ( 1.118347e+06 , 8.361920e+05 ) 
1392 ( 1.427089e+06 , 4.154618e+06 ) 
1393 ( 9.836828e+05 , 3.237544e+06 ) 
1394 ( 2.776830e+06 , 3.873810e+06 ) 
1395 ( 1.775558e+06 , 1.294639e+06 ) 
1396 ( 2.231064e+06 , 4.111835e+06 ) 
1397 ( 1.746259e+06 , 3.163101e+06 ) 
1398 ( 2.670551e+06 , 3.658341e+06 ) 
1399 ( 1.362259e+06 , 1.370222e+06 ) 
1400 ( 2.974389e+06 , 3.835098e+06 ) 
1401 ( 1.102607e+06 , 2.355641e+06 ) 
1402 ( 3.133336e+06 , 3.410596e+06 ) 
1403 ( 1.685397e+06 , 1.760611e+06 ) 
1404 ( 2.663786e+06 , 3.495152e+06 ) 
1405 ( 1.779351e+06 , 2.644720e+06 ) 
1406 ( 3.488809e+06 , 3.623044e+06 ) 
1407 ( 2.711797e+06 , 1.805681e+06 ) 
1408 ( 3.609386e+06 , 3.531506e+06 ) 
1409 ( 1.429385e+06 , 1.445841e+06 ) 
1410 ( 1.432570e+06 , 3.027215e+06 ) 
1411 ( 5.844171e+05 , 2.670312e+06 ) 
1412 ( 2.883026e+06 , 3.471167e+06 ) 
1413 ( 5.663104e+05 , 1.278185e+05 ) 
1414 ( 3.851207e+05 , 2.443314e+06 ) 
1415 ( 8.705954e+05 , 4.182083e+06 ) 
1416 ( 8.801423e+05 , 2.865616e+06 ) 
1417 ( 3.118621e+06 , -2.196636e+05 ) 
1418 ( 3.298171e+06 , -3.760305e+05 ) 
1419 ( 2.702890e+06 , 2.435738e+06 ) 
1420 ( 4.228270e+05 , 1.922039e+06 ) 
1421 ( -2.059155e+06 , -1.877521e+06 ) 
1422 ( -2.459191e+06 , -3.141499e+04 ) 
1423 ( -3.426697e+06 , -1.594129e+06 ) 
1424 ( -6.185692e+05 , -1.736773e+06 ) 
1425 ( 3.712826e+06 , 2.006031e+06 ) 
1426 ( 1.358551e+06 , 2.393293e+06 ) 
1427 ( 4.025035e+06 , 3.194619e+06 ) 
1428 ( 2.628244e+06 , 2.069688e+06 ) 
1429 ( -1.382610e+06 , -1.908764e+06 ) 
1430 ( -7.711021e+05 , -3.102829e+06 ) 
1431 ( -1.033454e+06 , -2.079935e+06 ) 
1432 ( -5.938960e+05 , 2.255746e+05 ) 
1433 ( 9.797868e+05 , -2.021518e+05 ) 
1434 ( -4.445081e+05 , -5.600301e+05 ) 
1435 ( -4.079312e+05 , -2.276520e+06 ) 
1436 ( -1.548552e+05 , -2.687308e+06 ) 
1437 ( -8.691987e+05 , -3.422309e+05 ) 
1438 ( -2.078544e+06 , -2.268738e+06 ) 
1439 ( -1.613725e+06 , -1.930801e+06 ) 
1440 ( -1.246006e+06 , -5.905254e+05 ) 
1441 ( -5.823283e+05 , -1.019880e+06 ) 
1442 ( -1.685555e+06 , -1.608104e+06 ) 
1443 ( -1.041496e+06 , -2.313343e+06 ) 
1444 ( -1.891468e+06 , -2.572203e+06 ) 
1445 ( -3.354485e+05 , -7.023243e+05 ) 
1446 ( -1.720848e+06 , -1.644152e+06 ) 
1447 ( -1.729064e+06 , -1.056722e+06 ) 
1448 ( -1.777985e+06 , -1.243342e+06 ) 
1449 ( -1.709519e+05 , -1.672384e+06 ) 
1450 ( -8.154315e+05 , -1.924172e+06 ) 
1451 ( -7.881674e+05 , -1.098587e+06 ) 
1452 ( -1.391899e+06 , -1.915139e+06 ) 
1453 ( 2.763228e+05 , -1.121370e+06 ) 
1454 ( -1.068770e+06 , -2.661981e+06 ) 
1455 ( -7.156904e+05 , -1.616515e+06 ) 
1456 ( -6.671370e+05 , -1.978663e+06 ) 
1457 ( -5.591780e+05 , -1.716952e+06 ) 
1458 ( -3.375947e+06 , -3.093592e+06 ) 
1459 ( -2.105001e+06 , -2.197405e+06 ) 
1460 ( -1.666212e+06 , -3.016015e+06 ) 
1461 ( -1.431740e+06 , -1.468495e+06 ) 
1462 ( -3.112996e+06 , -2.517412e+06 ) 
1463 ( -2.847827e+06 , -1.610198e+06 ) 
1464 ( -3.804770e+06 , -2.896320e+06 ) 
1465 ( -2.469701e+05 , -1.547817e+06 ) 
1466 ( -2.072491e+06 , -2.462558e+06 ) 
1467 ( -1.319404e+06 , -1.137077e+06 ) 
1468 ( -2.384606e+06 , -2.423107e+06 ) 
1469 ( -1.168196e+06 , -2.409381e+06 ) 
1470 ( -2.763896e+06 , -2.535433e+06 ) 
1471 ( -2.092815e+06 , -5.464734e+05 ) 
1472 ( -2.400380e+06 , -2.552053e+06 ) 
1473 ( -4.868756e+05 , -1.210997e+06 ) 
1474 ( -2.388907e+06 , -2.399654e+06 ) 
1475 ( -1.971131e+06 , -9.589254e+05 ) 
1476 ( -2.523711e+06 , -2.385172e+06 ) 
1477 ( -1.637507e+06 , -1.958967e+06 ) 
1478 ( -2.797125e+06 , -4.020226e+06 ) 
1479 ( -1.934314e+06 , -1.657793e+06 ) 
1480 ( -2.607008e+06 , -2.824731e+06 ) 
1481 ( -1.288401e+06 , -3.126111e+06 ) 
1482 ( -1.863612e+06 , -3.635134e+06 ) 
1483 ( -9.629179e+05 , -1.138307e+06 ) 
1484 ( -2.407440e+06 , -4.262860e+06 ) 
1485 ( -1.379982e+06 , -2.120397e+06 ) 
1486 ( -3.219534e+06 , -3.051540e+06 ) 
1487 ( -1.715662e+06 , -4.672153e+05 ) 
1488 ( -2.101466e+06 , -3.195094e+06 ) 
1489 ( -2.319716e+06 , -1.883324e+06 ) 
1490 ( -3.419106e+06 , -2.648939e+06 ) 
1491 ( -1.723033e+06 , -1.222490e+06 ) 
1492 ( -3.468910e+06 , -3.161613e+06 ) 
1493 ( -1.912201e+06 , -7.833521e+05 ) 
1494 ( -3.294487e+06 , -1.731929e+06 ) 
1495 ( -1.952074e+06 , 9.027032e+04 ) 
1496 ( -3.344306e+06 , -2.066902e+06 ) 
1497 ( -1.048943e+06 , -1.376837e+06 ) 
1498 ( -2.974642e+06 , -3.552209e+06 ) 
1499 ( -2.061546e+06 , -1.752860e+06 ) 
1500 ( -3.078029e+06 , -2.320592e+06 ) 
1501 ( -2.557205e+06 , 1.933284e+05 ) 
1502 ( -2.833581e+06 , -2.183163e+05 ) 
1503 ( -1.823387e+06 , -1.831231e+06 ) 
1504 ( -3.226178e+06 , -3.207593e+06 ) 
1505 ( 6.650360e+05 , 2.265425e+06 ) 
1506 ( 4.427972e+04 , -6.142156e+05 ) 
1507 ( -6.535556e+05 , -1.070255e+06 ) 
1508 ( -2.159543e+05 , 2.011567e+06 ) 
1509 ( -2.186631e+06 , -1.719262e+06 ) 
1510 ( -1.497161e+06 , -7.017927e+05 ) 
1511 ( 9.073783e+05 , -4.098575e+05 ) 
1512 ( -2.151836e+05 , -1.526547e+06 ) 
1513 ( 6.534053e+05 , 2.150445e+06 ) 
1514 ( -3.563416e+05 , 3.881879e+05 ) 
1515 ( -8.644105e+05 , -4.885648e+05 ) 
1516 ( -1.333622e+06 , 2.529966e+05 ) 
1517 ( 3.771521e+04 , -1.774108e+06 ) 
1518 ( -2.286621e+05 , -8.688044e+05 ) 
1519 ( -1.023156e+06 , 1.982256e+05 ) 
1520 ( -2.653823e+05 , -3.459017e+05 ) 
